Name,LTP:Last Trade Price,High,Low,CLOSEUP,YCP:Yesterday Closing Price,Change,Trade,Value,Volume
SALAMCRST,23.8,24.5,23.4,23.4,24.1,-0.3,139,1.296,"55,021"
ALARABANK,23.7,24,23.6,23.7,23.8,-0.1,66,0.991,"41,783"
SUMITPOWER,23.5,24.2,23.5,23.5,24.1,-0.6,279,4.799,"201,964"
INTECH,23.5,24.1,23.3,23.5,24,-0.5,141,2.108,"89,581"
MEGCONMILK,23.4,23.9,23.3,23.4,24,-0.6,31,0.197,"8,387"
AOL,23.4,23.8,23.4,23.4,24.1,-0.7,613,20.746,"882,072"
EASTLAND,23.3,24,23.3,23.3,24,-0.7,40,1.021,"43,279"
SIMTEX,23.2,23.8,22.7,23.2,23.4,-0.2,648,38.246,"1,652,430"
MITHUNKNIT,23.1,24.1,23.1,23.1,23.8,-0.7,94,3.1,"134,046"
TOSRIFA,23.1,23.5,22.9,23.1,23.3,-0.2,261,16.02,"690,641"
FARCHEM,23.1,23.8,23.1,23.1,23.8,-0.7,209,3.579,"154,279"
TITASGAS,23,23.8,22.8,23,23.3,-0.3,157,1.585,"68,766"
FUWANGCER,23,23.8,23,23,23.7,-0.7,"1,438",62.17,"2,678,107"
EPGL,22.8,23.9,22.7,22.8,23.4,-0.6,152,2.583,"112,547"
LRBDL,22.3,22.9,22.3,22.3,22.9,-0.6,366,9.209,"410,641"
ESQUIRENIT,22.2,23.9,22.1,22.2,22.7,-0.5,114,0.92,"41,074"
BENGALWTL,22.1,22.5,22.1,22.1,22.7,-0.6,160,2.596,"117,214"
JAMUNABANK,21.7,21.9,21.7,21.7,21.8,-0.1,379,43.618,"2,003,623"
MONNOFABR,21.6,22.7,21.5,21.6,22.1,-0.5,"1,306",40.623,"1,851,142"
CENTRALPHL,21.5,22.6,21.5,21.5,22.1,-0.6,"1,899",68.648,"3,141,265"
KPPL,21.5,22.8,21.5,21.5,22.1,-0.6,434,10.293,"473,766"
BDTHAI,21.2,22.4,21.2,21.2,21.8,-0.6,"1,111",30.685,"1,419,888"
UTTARABANK,20.9,21.2,20.8,20.9,21.1,-0.2,332,18.771,"896,649"
BDFINANCE,20.8,21.3,20.8,20.8,21.4,-0.6,196,5.096,"244,400"
FEKDIL,20.3,21,20.3,20.3,20.9,-0.6,"1,190",66.319,"3,250,444"
ACFL,20.3,21.3,20.3,20.3,20.9,-0.6,44,0.523,"25,723"
ARAMITCEM,20.2,20.9,20.2,20.2,20.8,-0.6,124,0.906,"44,793"
