Name,LTP:Last Trade Price,High,Low,CLOSEUP,YCP:Yesterday Closing Price,Change,Trade,Value,Volume
BANGAS,114.8,116.8,113,114.8,116.2,-1.4,250,5.091,"44,500"
APEXSPINN,114.5,114.5,113.1,113.2,114.1,0.4,66,1.6,"14,131"
ZEALBANGLA,110,110.5,109.5,110,111.4,-1.4,50,0.312,"2,835"
NAVANAPHAR,109.9,115.5,109.9,109.9,113.2,-3.3,"2,898",165.741,"1,483,323"
BDAUTOCA,109.8,113.5,107.1,107.9,110.2,-0.4,188,1.863,"17,153"
BSC,108.8,113,108.4,108.8,111.7,-2.9,"1,050",26.407,"241,282"
NATLIFEINS,104,104.8,102.5,103.7,105.2,-1.2,224,5.661,"54,379"
ADNTEL,98.7,100.9,97.6,98.7,97.2,1.5,659,13.25,"133,974"
LOVELLO,94.4,95.3,94.4,94.4,97.3,-2.9,415,42.749,"452,626"
APEXTANRY,93.8,96.4,93.8,93.8,96.6,-2.8,125,2.178,"23,075"
DELTALIFE,92.3,96.8,92.3,92.3,95.1,-2.8,370,6.726,"72,320"
CRYSTALINS,91.4,94,91.4,91.4,94.2,-2.8,152,2.154,"23,468"
STANCERAM,90.5,91,89.7,90.5,90.2,0.3,107,0.534,"5,880"
CITYGENINS,88.8,91,88.7,89.5,89.4,-0.6,161,13.788,"154,014"
SONALILIFE,88.5,90.2,85.1,87.1,87.6,0.9,954,45.688,"520,518"
SEAPEARL,87.2,89,86.5,87.2,87.7,-0.5,"1,325",64.776,"740,443"
DSHGARME,86.1,88.1,86,86.3,88.3,-2.2,62,0.798,"9,221"
LEGACYFOOT,83.1,84.5,78.6,83.1,78.1,5,"2,980",84.464,"1,033,823"
EHL,82.3,85,81.6,82.3,83.3,-1,"1,186",33.308,"397,792"
MONNOCERA,82.3,85.4,81.6,82.3,83.5,-1.2,523,9.309,"111,789"
MJLBD,80.8,81.6,80.6,80.8,81.9,-1.1,155,1.333,"16,463"
PTL,79.5,81.8,79,79.5,81.2,-1.7,"1,272",56.992,"712,116"
MEGHNACEM,78.9,79.7,77.5,78.9,78.8,0.1,218,16.262,"206,287"
DAFODILCOM,78.4,80.8,78.4,78.8,79.1,-0.7,99,4.683,"58,397"
MEGHNALIFE,75.6,78.1,75.5,75.6,77.8,-2.2,700,27.228,"357,301"
ASIATICLAB,73.3,75.4,73.3,73.3,75.5,-2.2,850,76.403,"1,039,941"
JHRML,72.5,74.5,72.5,72.5,74.7,-2.2,474,17.439,"238,803"
AZIZPIPES,72.5,74.1,71.5,72.4,73.7,-1.2,113,0.979,"13,585"
CONFIDCEM,71,73,71,71,73.1,-2.1,267,4.838,"67,702"
ORIONPHARM,70.8,72.9,70.8,70.8,72.9,-2.1,"2,142",119.193,"1,675,932"
SAMORITA,70,73.5,69.7,70,71.2,-1.2,531,9.492,"133,288"
ACMELAB,69.9,71.9,69.5,69.9,71.5,-1.6,448,11.093,"157,610"
INDEXAGRO,69.4,71.4,69.3,69.4,71.4,-2,155,2.559,"36,813"
NTLTUBES,69,70.8,69,69,71.1,-2.1,208,2.981,"42,808"
BEACHHATCH,68.5,70.4,66.6,68.5,68.2,0.3,"2,425",103.031,"1,492,982"
ICB,67.8,73.4,67,67.8,66.8,1,"2,017",49.562,"709,549"
PARAMOUNT,65.6,69.5,65.3,65.6,67.3,-1.7,"1,609",118.916,"1,754,753"
SPCL,65.5,65.5,65.5,65.5,65.5,0,1,0,1
DULAMIACOT,65.3,67.4,65.2,65.3,67.2,-1.9,27,0.164,"2,520"
PIONEERINS,64.8,66.9,64.1,64.5,66,-1.2,319,10.486,"162,532"
CROWNCEMNT,64.4,65.9,64.4,64.4,64.7,-0.3,39,0.235,"3,647"
ATLASBANG,64,66.1,64,64.3,65,-1,12,0.108,"1,677"
LHBL,63.4,65.2,63.1,63.4,65,-1.6,"1,220",73.877,"1,150,686"
BPML,60.5,62.3,60.5,60.5,62.3,-1.8,623,17.633,"289,326"
PREMIERCEM,59.6,60.6,59.1,59.6,60.1,-0.5,300,9.44,"158,476"
PRAGATIINS,58.7,59.9,58.5,58.6,59.7,-1,47,1.139,"19,430"
SALVOCHEM,58.6,61.4,58.6,58.6,60.4,-1.8,"1,244",58.927,"985,314"
STYLECRAFT,58.3,60.1,58.3,58.3,60.1,-1.8,297,4.548,"77,103"
GENEXIL,57.6,59.6,57.6,57.6,59.3,-1.7,621,19.073,"329,266"
BSRMSTEEL,56.6,57.5,56,56.4,57.6,-1,162,1.23,"21,739"
RELIANCINS,56.4,58,56.4,56.4,58.1,-1.7,77,0.998,"17,554"
HAKKANIPUL,56.2,57.2,56.1,56.2,57.1,-0.9,185,3.196,"56,822"
POPULARLIF,55.8,58,55.8,55.8,57.5,-1.7,563,33.527,"598,287"
UNIQUEHRL,55.5,57.5,55.3,55.5,57,-1.5,618,14.652,"262,337"
HRTEX,55.2,57.2,55.2,55.2,56.9,-1.7,405,10.668,"192,819"
GREENDELT,54.4,55.9,54.4,54.4,56,-1.6,136,3.208,"58,769"
EASTERNINS,52.5,53.2,52.5,52.5,54.1,-1.6,149,3.329,"63,359"
SAMATALETH,52.1,54.2,52.1,52.1,53.7,-1.6,102,1.201,"22,970"
SUNLIFEINS,51.8,54.1,51.8,51.8,53.3,-1.5,296,7.446,"142,588"
CLICL,51.1,52.6,51.1,51.1,52.6,-1.5,96,1.275,"24,780"
DUTCHBANGL,50.3,50.6,50,50.3,50.5,-0.2,232,8.782,"174,387"
EGEN,49.8,52,49.8,49.8,51.3,-1.5,"4,111",281.807,"5,578,958"
CENTRALINS,49.8,51.3,49.8,49.8,51.3,-1.5,89,4.964,"98,906"
SKICL,49.7,51.2,49.7,49.7,51.2,-1.5,145,3.335,"66,819"
BNICL,48.6,50,48.3,48.5,49.7,-1.1,207,3.674,"75,416"
EMERALDOIL,47.9,49.8,47.9,47.9,49.3,-1.4,"1,433",40.517,"840,659"
PROGRESLIF,47.7,50.3,47.7,47.7,49.1,-1.4,94,0.424,"8,807"
DHAKAINS,47.5,49.2,46.6,46.8,48,-0.5,82,1.314,"27,952"
ASIAPACINS,47.4,50,47.4,47.4,48.8,-1.4,119,2.732,"57,101"
KDSALTD,47.2,49,47.2,47.2,48.6,-1.4,349,8.306,"174,097"
ITC,46.8,48.7,46.8,46.8,48.2,-1.4,"1,663",70.176,"1,490,091"
SQUARETEXT,46.4,48.2,46.2,46.4,47.5,-1.1,264,3.507,"75,036"
MATINSPINN,46.4,47.9,46.3,46.4,47.5,-1.1,120,2.653,"57,022"
TILIL,46.3,48,46.2,46.3,47.6,-1.3,162,4.976,"106,018"
NPOLYMER,45.8,47,45.8,45.8,47.2,-1.4,169,6.61,"143,673"
HWAWELLTEX,45,45.4,44.4,45,45.7,-0.7,63,4.305,"95,784"
SINOBANGLA,44.4,46,44.4,44.4,45.7,-1.3,468,11.53,"258,649"
ISLAMIINS,44.2,44.7,42.8,43,44.1,0.1,109,2.957,"67,470"
ISNLTD,44.2,46.2,44.1,44.2,45.4,-1.2,124,3.401,"76,239"
POWERGRID,43.6,43.9,42.9,43.6,43.9,-0.3,282,8.798,"203,012"
PRIMELIFE,43.6,44.5,43.6,43.6,44.9,-1.3,32,0.566,"12,908"
PRIMEINSUR,43.2,44.8,43.2,43.2,44.5,-1.3,159,7.076,"163,236"
NEWLINE,42.6,45.9,42.6,45.4,43.9,-1.3,32,0.111,"2,434"
STANDARINS,42.5,44.5,42.2,42.5,43.4,-0.9,69,2.011,"46,960"
NORTHRNINS,42.4,43.9,42.3,42.3,43.6,-1.2,69,3.034,"71,542"
BGIC,42.1,43.5,42.1,42.1,43.4,-1.3,60,0.828,"19,580"
FAREASTLIF,42,43.2,42,42,43.2,-1.2,62,1.544,"36,682"
MIRAKHTER,41.4,42.3,41.4,41.4,42.6,-1.2,173,3.171,"75,848"
QUASEMIND,40.2,41.5,40.2,40.2,41.4,-1.2,334,6.901,"170,276"
PROVATIINS,39.8,41.1,39.7,39.8,40.9,-1.1,332,9.766,"244,355"
1STPRIMFMF,39.5,41.3,39.5,39.5,40.7,-1.2,594,34.667,"866,095"
UNITEDINS,39.1,39.8,38.3,39.1,39.2,-0.1,145,3.126,"80,856"
USMANIAGL,38.9,39.1,38.6,38.8,38.9,0,16,0.11,"2,843"
UNIONINS,38.9,43.9,38.5,38.9,42.9,-4,"1,025",28.371,"707,227"
SPCERAMICS,38.8,40.6,38.8,38.8,40,-1.2,"1,356",55.081,"1,398,223"
ASIAINS,38.8,41.3,38.7,38.8,39.8,-1,319,7.488,"187,571"
